Parameter,Median,CI,CI_low,CI_high,pd,Rhat,ESS
b_Intercept,2.22753057531719,0.95,1.92216726088205,2.57156955258359,1,0.999557423739515,1370.93998216949
b_event_num,0.0609773967260993,0.95,-0.0408798802478559,0.169916089762386,0.875,1.0010874000908,1560.96848117136
b_pd1,-0.503995023889082,0.95,-0.949686976199801,-0.0927826688344955,0.994,1.00019486563183,1362.71914199826
b_osa1,-0.463569055198532,0.95,-0.91058971077093,-0.0430924568917814,0.98275,0.99981151426609,1399.93023761798
b_event_num:pd1,0.0163449492119347,0.95,-0.113426896414177,0.144690513538215,0.603,1.00107579609375,1455.3465772446
b_event_num:osa1,-0.00418810795908543,0.95,-0.153127229827232,0.146456334648726,0.5265,1.00092293053624,1478.62605766331
b_pd1:osa1,0.479918427083202,0.95,-0.0948347163688075,1.10295062052926,0.954,1.00087544871321,1247.31667907539
b_event_num:pd1:osa1,-0.02801205082665,0.95,-0.217801252183162,0.154439323757042,0.62,1.00037837842235,1475.70016287865
