"domain","outcome","predictors","nCON","nPD","F","df1","df2","Pr(>F)","sig.","BF10","normality (p-value)","non-normality","homoscedasticity (p-value)","heteroscedasticity","outliers"
"attention","stroop_body"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH * HBT.R.BODY + GROUP * AHI_LH * HBT.L.BODY",41,40,1.17602573407041,-8,74,0.326868418317971,,5.12842681846214e-06,0.28225763273732,,0.484189089838297,,0
"attention","stroop_slova"," ~ 1 + Gender..0.F + Education + AGE",41,40,,,,,,,1.71597017751946e-05,"!",0.987298419541785,,0
"attention","stroop_slova"," ~ 1 + Gender..0.F + Education + AGE + GROUP",41,40,4.37871013117326,-1,77,0.039728744024339,,1.07403596466617,0.000582283346441405,"!",0.0715424574276541,,0
"attention","stroop_slova"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH",41,40,0.414444327024166,-2,76,0.662231306011757,,0.0193837048247337,0.00169688125403435,"!",0.0341966580493099,"!",0
"attention","stroop_slova"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH * HBT.R.BODY + GROUP * AHI_LH * HBT.L.BODY",41,40,1.34986000934945,-8,74,0.235189473129658,,1.07498760423503e-05,0.113390324218929,,0.0144514662135492,"!",0
"executive","tmt_b"," ~ 1 + Gender..0.F + Education + AGE",41,43,,,,,,,0.00155304066739098,"!",0.486976082158818,,0
"executive","tmt_b"," ~ 1 + Gender..0.F + Education + AGE + GROUP",41,43,9.213937771343,-1,80,0.00325168362752115,":-)",11.2223884651265,0.122483501512389,,0.00244478031154381,"!",0
"executive","tmt_b"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH",41,43,0.326048322937235,-2,79,0.7227618868454,,0.016964618013107,0.101081438458076,,0.00174204391873996,"!",0
"executive","tmt_b"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH * HBT.R.BODY + GROUP * AHI_LH * HBT.L.BODY",41,43,0.660449658894307,-8,77,0.724151607067567,,4.45373087515208e-07,0.633370839390252,,0.000360060071277854,"!",0
"executive","stroop_barvy"," ~ 1 + Gender..0.F + Education + AGE",41,40,,,,,,,0.58800676151976,,0.448306589064993,,0
"executive","stroop_barvy"," ~ 1 + Gender..0.F + Education + AGE + GROUP",41,40,2.33567575033446,-1,77,0.13059164812453,,0.378591244739731,0.39241718425784,,0.677288407574718,,0
"executive","stroop_barvy"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH",41,40,0.193860822644901,-2,76,0.824189562004486,,0.0152556688316513,0.583217182906177,,0.568682186341095,,0
"executive","stroop_barvy"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH * HBT.R.BODY + GROUP * AHI_LH * HBT.L.BODY",41,40,1.55477467445556,-8,74,0.155741171764292,,2.5287070378147e-05,0.371935838534254,,0.401222507845913,,0
"speed","gpt_phk"," ~ 1 + Gender..0.F + Education + AGE",41,42,,,,,,,2.56481089663821e-07,"!",0.18472648224454,,0
"speed","gpt_phk"," ~ 1 + Gender..0.F + Education + AGE + GROUP",41,42,17.2837059080695,-1,79,8.19131180640309e-05,":-)",444.435254761725,1.85695976188037e-08,"!",0.00369129414324738,"!",0
"speed","gpt_phk"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH",41,42,1.33104923399722,-2,78,0.270287801990021,,0.0502837010496393,2.29816186115748e-08,"!",0.0164560865441782,"!",0
"speed","gpt_phk"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH * HBT.R.BODY + GROUP * AHI_LH * HBT.L.BODY",41,42,0.54611753477819,-8,76,0.817582610815157,,2.79244481510917e-07,3.73249908074775e-08,"!",8.61828932158516e-05,"!",0
"speed","gpt_lhk"," ~ 1 + Gender..0.F + Education + AGE",41,42,,,,,,,8.92859724123015e-05,"!",0.300453675714217,,0
"speed","gpt_lhk"," ~ 1 + Gender..0.F + Education + AGE + GROUP",41,42,24.9934439253118,-1,79,3.45569647426002e-06,":-)",11223.6090627785,0.0441819909422762,"!",0.00330509974881029,"!",0
"speed","gpt_lhk"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH",41,42,0.472697140276081,-2,78,0.625138994657325,,0.0201250490489358,0.0305002011373509,"!",0.00327010290482888,"!",0
"speed","gpt_lhk"," ~ 1 + Gender..0.F + Education + AGE + GROUP * AHI_LH * HBT.R.BODY + GROUP * AHI_LH * HBT.L.BODY",41,42,1.79340441991522,-8,76,0.0935043924844,,5.94295190884053e-05,0.188783779839173,,0.143404150270213,,0
