y,X,term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,SUBJ,AHI.F,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.0934321596798885,0.175945951439345,0.531027619081636,0.595399640172186,0.748069745199153,-0.251415568366861,0.438279887726638,NA,NA,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.00930662899038372,0.18331155401696,0.0507694620794207,0.959509225213638,0.0596314175902238,-0.349977414832926,0.368590672813694,NA,NA,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.23836262361922,0.261102070522944,0.912909741166814,0.361290013860989,1.46877071598839,-0.273388030894587,0.750113278133026,CON,NA,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.209095598446413,0.247755814099518,-0.843958391880256,0.398692656729701,1.32665106140365,-0.69468807104187,0.276496874149044,PD,NA,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.327815037904744,0.258044717330032,1.27038073593066,0.203949041874524,2.29371936533045,-0.177943314462937,0.833573390272425,NA,H,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.119643184160889,0.24047340731347,-0.49753187056117,0.618814034053557,0.69242217891832,-0.590962401734922,0.351676033413143,NA,L,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.447458222065633,0.352773457231947,-1.2684010457494,0.204654768373802,2.28873581350048,-1.13888149294193,0.243965048810664,NA,NA,0.832958537660524,,0,0.465590801545418,
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.447458222065633,0.352773456423565,1.26840104865595,0.204654767336365,2.2887358208138,-0.243965047226264,1.13888149135753,NA,NA,0.832958537660524,,0,0.465590801545418,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.0245511337520064,0.20814012391915,-0.117954833934581,0.906103445264544,0.142252329990191,-0.432498280371243,0.383396012867231,NA,NA,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.108878103980518,0.216853471673867,-0.502081443013574,0.615610233060281,0.699910881638038,-0.533903098383774,0.316146890422737,NA,NA,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.0106763847067269,0.308877901777916,0.0345650648533712,0.972426559052156,0.0403387978909628,-0.594713178398288,0.616065947811742,CON,NA,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.222871918775333,0.29308960033565,-0.76042247326448,0.447002094217827,1.16164650439466,-0.797316979676446,0.35157314212578,PD,NA,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.0977836918814536,0.305261120176925,0.320328025477924,0.74871968026925,0.417502418369392,-0.500517109545672,0.69608449330858,NA,H,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.135764611600606,0.284474656079614,-0.477246772951932,0.633186408288383,0.659297807361418,-0.693324692031068,0.421795468829855,NA,L,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.23354830348206,0.417323120205573,-0.559634231065402,0.575728951155128,0.796538333322949,-1.05148658900086,0.584389982036743,NA,NA,0.0550094562038914,,0,0.759104925222653,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.23354830348206,0.417323117072469,0.559634235266924,0.575728948288718,0.796538340505765,-0.584389975895971,1.05148658286009,NA,NA,0.0550094562038914,,0,0.759104925222653,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.0325051993481446,0.199975864897108,0.162545612016077,0.870876212630425,0.199460427861066,-0.359440293627434,0.424450692323724,NA,NA,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.135468261725639,0.208347435383693,0.650203644101309,0.515560687486465,0.955785835320109,-0.272885207897685,0.543821731348964,NA,NA,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.215196729876116,0.296762224757684,0.725148660857463,0.468360834534337,1.09430765565266,-0.366446542620926,0.796840002373158,CON,NA,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.0594480944193706,0.281593217960071,0.211113374285173,0.832798804250122,0.26396009770015,-0.492464471073105,0.611360659911847,PD,NA,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.114087817920726,0.293287318415678,0.388996764459581,0.697278539856837,0.520193014407852,-0.460744763296334,0.688920399137786,NA,H,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.0416608175360199,0.273316206526978,-0.152427176073468,0.878850024102527,0.186311104654326,-0.577350738720007,0.494029103647967,NA,L,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.155748635456745,0.400953702857492,-0.3884454348389,0.697686426558112,0.519349328505893,-0.941603452525404,0.630106181611913,NA,NA,0.557872135113562,,0,0.680453364784451,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.155748635456745,0.400953702228349,0.388445435448416,0.697686426107129,0.519349329438448,-0.630106180378815,0.941603451292306,NA,NA,0.557872135113562,,0,0.680453364784451,
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.0720783437924331,0.216951323181333,-0.332232791833163,0.739713484382654,0.434961519690299,-0.497295123626155,0.353138436041289,NA,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.280589638009484,0.226749993454948,1.23744055615699,0.215923570107057,2.21140735907423,-0.163832182656906,0.725011458675874,NA,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.321634631398426,0.324960794085215,0.989764418516539,0.322289280132159,1.63357189208523,-0.315276821396132,0.958546084192984,CON,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.242408248810468,0.303559857950811,0.798551726986734,0.424550388078265,1.23599230361422,-0.352558139925217,0.837374637546153,PD,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
