Parameter,Median,CI,CI_low,CI_high,pd,Rhat,ESS
b_Intercept,2.22904145342209,0.95,1.92054381635648,2.5541923964892,1,1.00001966387482,2034.80835797792
b_event_num,0.0598158965225989,0.95,-0.0465765137311847,0.16710376240626,0.86675,1.00278768169938,1799.08343105564
b_pd1,-0.509190955890771,0.95,-0.908545957767772,-0.106141738593159,0.99475,0.999971436987421,1633.7092792395
b_osa1,-0.460845981495074,0.95,-0.888694985705111,-0.0379333099510558,0.98375,0.999925192859565,1955.24951110269
b_event_num:pd1,0.0171096668773412,0.95,-0.115697195107111,0.148105592281086,0.597,1.00155495902842,1666.3177091778
b_event_num:osa1,8.59320848895145e-05,0.95,-0.147023315291202,0.146752453327268,0.5005,1.00249777290011,1853.3364620991
b_pd1:osa1,0.487925867037994,0.95,-0.075583141961984,1.0872058394035,0.95525,1.00095400041505,1668.65716212015
b_event_num:pd1:osa1,-0.0316419957084645,0.95,-0.227546229968469,0.166665224897838,0.623,1.00350897049482,1881.99239057924
