Outcome,Parameter,Median,CI,CI_low,CI_high,pd,Rhat,ESS,prior_sensitivity,likelihood_sensitivity,powerscale_diagnosis
avlt_1_5,b_Intercept,0.199018165226684,0.95,-0.208508927151062,0.589434662705048,0.832,0.99996678420611,1078.6086989819,0.0333937430929437,0.149272861974806,-
avlt_1_5,b_eventfollowup_4,-0.0251586399628793,0.95,-0.41250400711183,0.334387015373411,0.553,1.00022607533345,2771.74100505096,0.0168078250183418,0.231238260369196,-
avlt_1_5,b_pd1,-0.0721583443556476,0.95,-0.600758746390156,0.478543859761253,0.61125,1.00241168803985,1031.37125132175,0.0371683247126263,0.174618315470609,-
avlt_1_5,b_osa1,-0.581103186291227,0.95,-1.0969028295635,-0.0174101559401739,0.97875,1.00229611861367,1024.15714353406,0.0474583852904626,0.0760846367283152,-
avlt_1_5,b_eventfollowup_4:pd1,-0.326104629436303,0.95,-0.778715010255914,0.141975510413651,0.91775,1.0006011378588,2684.59453273311,0.0164171973431497,0.226587733192455,-
avlt_1_5,b_eventfollowup_4:osa1,0.102657553851332,0.95,-0.488164269122997,0.733483238737993,0.6255,0.999996418016368,2874.0809153885,0.0310220095952616,0.271113293568565,-
avlt_1_5,b_pd1:osa1,0.469294176588738,0.95,-0.283309179486573,1.19266684172438,0.89075,1.00274830685986,1222.09492078487,0.0548719487429946,0.113313751729769,prior-data conflict
avlt_1_5,b_eventfollowup_4:pd1:osa1,-0.202619723672483,0.95,-0.94336539311862,0.534793642171455,0.6985,1.00045950569197,2621.35625889499,0.0333637930852916,0.462319864856173,-
avlt_6,b_Intercept,0.0807136245567563,0.95,-0.337948248600167,0.528718344242649,0.63875,1.0009324616451,2284.18122284527,0.0333937430929437,0.149272861974806,-
avlt_6,b_eventfollowup_4,0.167979819543739,0.95,-0.397381950515257,0.76877797711052,0.71425,0.999714155593852,2641.54833005203,0.0168078250183418,0.231238260369196,-
avlt_6,b_pd1,-0.127671282213114,0.95,-0.718458321755109,0.437981968350616,0.6695,1.00015160156421,2175.33991217717,0.0371683247126263,0.174618315470609,-
avlt_6,b_osa1,-0.13824651084269,0.95,-0.709347208084677,0.479139500661057,0.674,1.0000738516851,2252.02655566558,0.0474583852904626,0.0760846367283152,-
avlt_6,b_eventfollowup_4:pd1,-0.302618196445316,0.95,-1.02977635810778,0.40714288319763,0.7835,0.999475268923746,2442.74025375551,0.0164171973431497,0.226587733192455,-
avlt_6,b_eventfollowup_4:osa1,0.623583001732662,0.95,-0.305557624517407,1.54022093144674,0.904,1.00069145593564,2765.67535733976,0.0310220095952616,0.271113293568565,-
avlt_6,b_pd1:osa1,0.155614629035107,0.95,-0.622376209786898,0.92701688915344,0.659,0.999922460554197,2154.20849194085,0.0548719487429946,0.113313751729769,prior-data conflict
avlt_6,b_eventfollowup_4:pd1:osa1,0.123278250458899,0.95,-0.938842381958892,1.16415365933297,0.593,1.001527584742,2611.24899988582,0.0333637930852916,0.462319864856173,-
avlt_8,b_Intercept,0.178709569751415,0.95,-0.252520789387488,0.598198241347036,0.79675,1.00174763809569,1611.08183640239,0.0333937430929437,0.149272861974806,-
avlt_8,b_eventfollowup_4,-0.0721779202498012,0.95,-0.518842609793181,0.394829962242334,0.61775,1.0021449937666,2624.83592721764,0.0168078250183418,0.231238260369196,-
avlt_8,b_pd1,-0.0128659085893646,0.95,-0.573308233817987,0.563295622826996,0.51975,1.00345208199619,1318.54420667397,0.0371683247126263,0.174618315470609,-
avlt_8,b_osa1,-0.456367268311728,0.95,-1.01314675299784,0.159441976627344,0.92925,1.00269014122215,1364.00250226207,0.0474583852904626,0.0760846367283152,-
avlt_8,b_eventfollowup_4:pd1,-0.371651818497726,0.95,-0.928674740043127,0.194262451959917,0.89625,1.00411371233614,2388.97641847951,0.0164171973431497,0.226587733192455,-
avlt_8,b_eventfollowup_4:osa1,0.43582315885895,0.95,-0.288990245566877,1.14863970081811,0.88175,1.00237022543717,2310.82084005351,0.0310220095952616,0.271113293568565,-
avlt_8,b_pd1:osa1,0.179551306830135,0.95,-0.624849341845481,0.962166428489573,0.66625,1.0040490583795,1311.85921130518,0.0548719487429946,0.113313751729769,prior-data conflict
avlt_8,b_eventfollowup_4:pd1:osa1,-0.027796646106572,0.95,-0.893992325542673,0.842022337554332,0.526,1.00380773836309,2110.53301397486,0.0333637930852916,0.462319864856173,-
avlt_r_fp,b_Intercept,0.0679923746341137,0.95,-0.347461662421288,0.465230769022693,0.62725,1.00028519314455,1527.19401835882,0.0333937430929437,0.149272861974806,-
avlt_r_fp,b_eventfollowup_4,-0.236776127154644,0.95,-0.694855400855678,0.218589292915947,0.84975,1.00114724571678,2232.48692009755,0.0168078250183418,0.231238260369196,-
avlt_r_fp,b_pd1,-0.0616865735653526,0.95,-0.611977121901571,0.480225734176726,0.594,1.00017225517128,1514.80955834608,0.0371683247126263,0.174618315470609,-
avlt_r_fp,b_osa1,-0.0779185278332432,0.95,-0.639428009354021,0.50068375607083,0.59875,1.00064714122575,1542.23395921173,0.0474583852904626,0.0760846367283152,-
avlt_r_fp,b_eventfollowup_4:pd1,0.0775831029065705,0.95,-0.493320814660782,0.615809716826387,0.60875,1.00050567786704,2225.5762054401,0.0164171973431497,0.226587733192455,-
avlt_r_fp,b_eventfollowup_4:osa1,0.152081801780834,0.95,-0.549883733454158,0.873087069539419,0.66975,1.00083677778073,2780.69873807812,0.0310220095952616,0.271113293568565,-
